1007 Lausanne	(46.516054, 6.608998000000001)
Steinenbachgässlein 34; 4051 Basel	(47.5523627, 7.587572199999999)
Steinentorstrasse 30; 4051, Basel	(47.5515129, 7.588067799999998)
Steinentorstrasse 35, 4051, Basel	(47.5509511, 7.5883994)
Sternengässchen 1, 3011 Bern	(46.9497443, 7.443020700000001)
Talacker 34, 8001 Zürich	(47.37166239999999, 8.5357544)
Talstrasse 31, 8808 Pfäffikon	(47.1996816, 8.796268299999998)
Tannwaldstrasse 101, 4600 Olten	(47.3612838, 7.918116999999998)
Tellistrasse 118; 5001, Aarau	(47.3986917, 8.0636967)
Tellsgasse 8, 6460 Altdorf	(46.88215, 8.6432667)
Terraux 7; 2000, Neuchâtel	(46.99246949999999, 6.9302771)
Teufener Str. 75, 9000 St. Gallen	(47.4163632, 9.366448100000001)
Theaterstrasse 10; 8001, Zürich	(47.3663868, 8.5467338)
Theaterstrasse 4; 4051, Basel	(47.5536642, 7.589648299999999)
Tramstrasse 55-66; 4142, Münchenstein	(47.510677, 7.618929999999999)
Uetliberg, 8143	(47.3495, 8.49205)
Uferstrasse 40, 4057 Basel	(47.5766018, 7.586789199999999)
Uferstrasse 80, 4059, Basel	(47.58032559999999, 7.5864672)
Untere Vogelsangstrasse 6; 8400, Winterthur	(47.4975354, 8.7222841)
Unterer Graben 17, 9000 St. Gallen, CH	(47.4273184, 9.374163200000002)
Untergasse 21, 2500 Biel	(47.14169649999999, 7.247028200000001)
Vadianstrasse 13, 9000 St. Gallen	(47.4226211, 9.372743399999997)
Via Aerodromo 3, Ascona	(46.1594924, 8.782416999999999)
Via Angelo Maspoli, 24 CH-6850 Mendrisio	(45.87542000000001, 8.9804918)
Via Campagnole 1, 6802 Rivera-Bironica	(46.1265608, 8.9212753)
Via Cantonale 1, Lugano	(46.00668599999999, 8.949908400000002)
Via Cantonale; 6595, Riazzino	(46.1747004, 8.896412999999999)
Via Carmagnola 6500 Bellinzona	(46.2086285, 9.0395481)
Via Lido 81, 6612 Ascona	(46.1493351, 8.782399600000002)
Via Lido 82, 6612 Ascona	(46.1475974, 8.781411099999998)
Via Moscia 2,6612,Ascona,(Ti),CH	(46.15483400000001, 8.7662879)
Via Pioda 12, 6900 Lugano, CH	(46.0075564, 8.9542299)
Via Stauffacher 1, 6900 Lugano	(46.004146, 8.9550348)
Via Trevano 56 6900 Lugano	(46.0168177, 8.956096700000002)
Via Villa Foresta, 6850 Castel San Pietro	(45.8624458, 8.9857368)
Viaduktstrasse 10, 4051 Basel	(47.54894549999999, 7.5872571)
Viale Castagnola 16, 6900 Lugano	(46.0057992, 8.9658487)
Viale Stazione 18, 6500 Bellinzona	(46.193542, 9.0267915)
Vis-a-Vis Rothis	(None, None)
Wallisellenstrasse 45; 8050, Zürich	(47.41160989999999, 8.5516563)
Wasserwerkgasse 5; 3011, Berne	(46.9468806, 7.457389399999999)
Wasserwerkstrasse 21; 8006, Zürich	(47.3833133, 8.539372900000002)
Weingasse, 8001 Zürich	(47.372934, 8.543334399999999)
Werkstrasse 16, 8400 Winterthur	(47.49927099999999, 8.745634199999998)
Westquaistrasse 19; 4057, Basel	(47.5837338, 7.586769100000001)
Westquaistrasse 75; 4019, Basel	(47.5876876, 7.589412200000001)
Wiedenstrasse 48; 9470, Buchs	(47.1683555, 9.4689692)
Zentralstrasse 36, 5610 Wohlen	(47.3499897, 8.275005900000002)
Zeughausgasse 16, 3011 Bern	(46.9491217, 7.4454499)
Ziegelackerstrasse 11; 3027, Bern	(46.9486745, 7.401461299999998)
Zollstrasse 80, 8005 Zürich	(47.38132249999999, 8.5315584)
Zwinglipl., 8001 Zürich	(47.3703455, 8.544243699999999)
Zähringerstrasse  39; 8001, Zürich	(47.375933, 8.5444093)
Zürich, Switzerland	(47.3768866, 8.541694)
monthey	(46.2521873, 6.9469598)
Überlandstrasse 219, 8600 Dübendorf	(47.4004875, 8.6244625)
