location,event,date,artists,genre,coordinates
Basel,"Freitagsbar+-""Bassic-Vibes""-CD-Taufe",2016-05-13,"[' Erich Fischer ', ' Thomas Lähns ']",,"(47.55959860000001, 7.588576099999999)"
Rorschach,The-Wright-Thing,2016-05-13,"[' Jason Wright ', ' Ian Fullwood ', ' David Anlauff ', ' Glen Turner ', ' Danny Labana ', ' Rick Washington ']",,"(47.4788825, 9.4916808)"
Rorschach,Kenny-Wesley,2016-05-13,"['Kenny Wesley ', ' Kenny Wesley ', ' Jean-Pierre Schaller ', ' Cyril Regamey ']",,"(47.4788825, 9.4916808)"
Aarau,Kalles-Kaviar,2016-05-13,[' Dr. Woggle & the Radio '],,"(47.390434, 8.045701499999998)"
Oberentfelden,Black-Trip-(SWE),2016-05-13,"['Black Trip ', ' Angry Bastard ']",,"(47.3564731, 8.0467514)"
Solothurn,The-Voodoo-Fix,2016-05-13,['The Voodoo Fix '],,"(47.2088348, 7.532291)"
Bern,20-Jahre-RaBe-Fest,2016-05-13,"['Booka Shade ', ' Smash TV ', ' Jeans for Jesus ']",Electronic,"(46.9479739, 7.447446800000001)"
Baden,Siberian-Meat-Grinder,2016-05-13,['Siberian Meat Grinder '],,"(47.47288, 8.308089999999998)"
Bern,20-Jahre-RaBe-Fest,2016-05-13,"['Booka Shade ', ' Smash TV ', ' Jeans for Jesus ']",Electronic,"(46.9479739, 7.447446800000001)"
Sankt-Gallen,Attwenger,2016-05-13,['Attwenger '],Pop,"(47.4244818, 9.3767173)"
Bern,Sendemast,2016-05-13,['Sendemast & Galv of the 3 Moonz '],,"(46.9479739, 7.447446800000001)"
Lausanne,Manolito-y-su-trabuco,2016-05-13,['Manolito y su trabuco '],,"(46.516054, 6.608998000000001)"
Basel,Yo-Gotti,2016-05-13,['Yo Gotti '],,"(47.55959860000001, 7.588576099999999)"
Zürich,Redfoo-&-the-Party-Rock-Crew,2016-05-13,['Redfoo & the Party Rock Crew '],Pop,"(47.3768866, 8.541694)"
Bern,Milenka-Goes-Big,2016-05-13,['Live: Balkanesco '],,"(46.9479739, 7.447446800000001)"
Bern,Friday-the-13th-Night,2016-05-13,"[' DJs Jay A.D. ', ' Oomboi Lauw ']",,"(46.9479739, 7.447446800000001)"
Heerbrugg,Schlosskonzerte-Next-Generation,2015-08-23,"['Mateo Leko ', ' Yuri Revich ', ' Marie Spaemann ']",Classic,"(47.41667, 9.616672999999999)"
Gampel,Openair-Gampel,2015-08-23,[' All The Luck In The World '],Pop,"(46.3157745, 7.741944099999999)"
Zürich,Glantaler-Power-Men,2015-08-23,['Glantaler Power Men '],traditional,"(47.3768866, 8.541694)"
Zürich,Vormittagskonzert,2015-08-23,['Chantal Largier '],Classic,"(47.3768866, 8.541694)"
Gampel,Openair-Gampel,2015-08-23,"['Clueso ', ' Adel Tawil ']",,"(46.3157745, 7.741944099999999)"
Zürich,Les-digitales,2015-08-23,"['Poppy Ackroyd ', ' Yagya ', ' Tapage ', ' Ishome ', ' Antoine Lukac ']",Electronic,"(47.3768866, 8.541694)"
Luzern,Lucerne-Festival,2015-08-23,[' Alexander Kionke '],Classic,"(47.05016819999999, 8.309307200000001)"
Fischingen,Ave-Maria,2015-08-23,"['Daniel Bosshard ', ' Anja Muth ']",Classic,"(47.4152394, 8.9692231)"
Andermatt,Schlagertage-Andermatt,2015-08-23,"[' Mickie Krause ', ' Guildo Horn ', ' Matty Valentino ', ' Antonia ', ' Grubertaler ', ' Franky Leitner ', ' Jonny Gold ']",traditional,"(46.6339116, 8.5935627)"
Winterthur,Winterthurer-Musikfestwochen,2015-08-23,"['Ben Howard ', ' Fink ', ' Villagers ']",,"(47.49881959999999, 8.723688899999999)"
Gstaad,Gstaad-Menuhin-Festival-Oberon,2015-08-23,[' conductor: Roumen Kroumov '],Classic,"(46.4717588, 7.2865728)"
Murten,Murten-Classics,2015-08-23,"['Gwendolyn Masin ', ' Eva Aroutunian ', ' Simon Bucher ']",Classic,"(46.92922110000001, 7.120184000000001)"
