Geroldstrasse 5, 8005, Zurich	(47.3851337, 8.5203308)
Geroldswil	(47.4239976, 8.4117709)
Gessnerallee 8, 8001, Zurich	(47.3747741, 8.5346811)
Gessnerallee-Zürich	(47.374774, 8.5346811)
Gewerbestrasse 14, 9470, Buchs	(47.1735493, 9.4830741)
Giebenacherstrasse 40 4302 Augst	(47.53003, 7.7269302)
Giswil	(46.838212, 8.1872814)
Giumaglio	(46.273889, 8.681944)
Glarus	(47.0411232, 9.0679)
Glattbrugg	(47.4346801, 8.567109799999999)
Glattfelden	(47.5598578, 8.4993768)
Glutzenhofstrasse 3, 4500 Solothurn	(47.19817930000001, 7.5237082)
Goldau	(47.048056, 8.549722)
Gotthardstrasse 21, 8002 Zürich	(47.3658868, 8.5367205)
Gr?nichen	(47.3621015, 8.0980292)
Gr?ningen	(53.2193835, 6.566501799999999)
Grabenhalle	(47.42734240000001, 9.3741971)
Grand Hotel Kempinski, Quai du Mont-Blanc 19, 1201 Genève	(46.210182, 6.150875999999999)
Grand Lancy	(46.1781048, 6.1233726)
Grand Rue 5-7 1260 Nyon	(46.3824696, 6.2391172)
Grand Saconnex	(46.2331904, 6.1231633)
Grand-Casino-Basel	(47.57421000000001, 7.563111999999999)
Grand-Places 14, 1701, Fribourg	(46.8020813, 7.1534678)
Grand-Rue 30, 1635 Bulle	(46.6190386, 7.0578789)
Grand-Rue 36, 1700 Fribourg	(46.8049843, 7.165070399999999)
Grand-Rue 68, 1700 Fribourg	(46.8056652, 7.161766999999999)
Grand-Rue 95, 1820, Montreux	(46.4375985, 6.9076819)
Greifensee	(47.3665785, 8.6794982)
Grenchen	(47.1922876, 7.3958907)
Gretzenbach	(47.3603017, 7.995101900000001)
Grindelwald	(46.624164, 8.0413962)
Grosshöchstetten	(46.90670249999999, 7.638022)
Grubenstrasse 15, Zürich	(47.3616086, 8.5160348)
Grubenstrasse 18, 8045, Zürich	(47.3619308, 8.5157642)
Gränichen	(47.3621015, 8.0980292)
Grüningen	(47.2829567, 8.7615482)
Gstaad	(46.4717588, 7.2865728)
Gstaadplatz, 3780, Gstaad	(46.4803352, 7.2811468)
Gurtenfestival	(46.9184116, 7.440393200000001)
Gutenbergstrasse 1, 8002 Zürich	(47.3651174, 8.5305343)
Güterbahnhofstrasse 4, 9000, St. Gallen	(47.4187773, 9.364653299999999)
H?ggenschwil	(47.4939507, 9.3433245)
H?gglingen	None
H?ntwangen	(47.59597309999999, 8.4920685)
Habere Poche	(46.248468, 6.471481)
Haberhaus-Kulturklub	(47.69534789999999, 8.6320357)
Hacienda-Sonic	(46.2906499, 7.531970899999999)
Hafen Murten, Murten / FR /	(46.92986699999999, 7.116976999999999)
Hafenkneipe	(47.376334, 8.533277)
Hagenaustrasse 29, 4056, Basel	(47.5740241, 7.568760299999999)
Halden Strasse 6, 6006, Lucerne	(47.0550326, 8.317069499999999)
Hallau	(47.6967786, 8.4574122)
Hallenstadion	(47.4115196, 8.5516763)
Hardstrasse 219, 8005 Zürich	(47.3868952, 8.5167783)
Hardstrasse 219, 8005, Zürich	(47.3868952, 8.5167783)
Hardstrasse 245, 8005, Zürich	(47.3883036, 8.5193197)
Hardturmstrasse 169, 8005, Zürich	(47.3934384, 8.5111245)
Hardturmstrasse 269, 8005 Zürich	(47.3933743, 8.5079724)
Hasliberg-Hohfluh	(46.751221, 8.175787999999999)
