,location,event,date,artists,genre,coordinates
1298,Vevey,SEPTEMBRE MUSICAL,2014-09-01,[DELPHINE BARDIN],,"(46.4628333, 6.8419192)"
1299,Veytaux,SEPTEMBRE MUSICAL,2014-09-02,[CONRAD TAO],,"(46.42071019999999, 6.9286409)"
1300,Veytaux,SEPTEMBRE MUSICAL,2014-09-03,[JULIEN QUENTIN],,"(46.42071019999999, 6.9286409)"
1301,Veytaux,SEPTEMBRE MUSICAL,2014-09-04,[QUATUOR VAN KUIJK],,"(46.42071019999999, 6.9286409)"
1302,Veyras en Valais,TOHU BOHU A VEYRAS,2014-09-05,[FAUVE],,"(46.3045233, 7.5389954)"
1303,Veyras en Valais,TOHU BOHU A VEYRAS,2014-09-06,[SELAH SUE],,"(46.3045233, 7.5389954)"
1304,Montreux,SEPTEMBRE MUSICAL,2014-09-07,[YOUTH ORCHESTRA OF BAHIA],,"(46.4312213, 6.9106799)"
1305,Montreux,SEPTEMBRE MUSICAL,2014-09-08,[YOUTH ORCHESTRA OF BAHIA],,"(46.4312213, 6.9106799)"
1306,Montreux,SEPTEMBRE MUSICAL,2014-09-09,[YOUTH ORCHESTRA OF BAHIA],,"(46.4312213, 6.9106799)"
1307,Montreux,SEPTEMBRE MUSICAL,2014-09-10,[ROYAL PHILARMONIC ORCHESTRA DE LONDRES],,"(46.4312213, 6.9106799)"
1308,Montreux,SEPTEMBRE MUSICAL,2014-09-11,[ROYAL PHILARMONIC ORCHESTRA DE LONDRES],,"(46.4312213, 6.9106799)"
1309,Carouge,MURS DU SON A CAROUGE,2014-09-12,[RANDOM RAGE],,"(46.1829674, 6.1378539)"
1310,Montreux,SEPTEMBRE MUSICAL,2014-09-13,[RUNDFUNK SINFONIEORCHESTER BERLIN],,"(46.4312213, 6.9106799)"
1311,Zurich,CHANSONS EN STOK,2014-09-16,[KLO PELGAG],,"(47.3768866, 8.541694)"
1312,Zurich,CHANSONS EN STOK,2014-09-17,[CHARLOTTE PARFOIS / PEUT-ETRE],,"(47.3768866, 8.541694)"
1313,Zurich,CHANSONS EN STOK,2014-09-18,[WLADIMIR ANSELME],,"(47.3768866, 8.541694)"
1314,Zurich,CHANSONS EN STOK,2014-09-19,[YOANNA],,"(47.3768866, 8.541694)"
1315,Zurich,CHANSONS EN STOK,2014-09-20,[BENOIT PARADIS],,"(47.3768866, 8.541694)"
1316,Zurich,CHANSONS EN STOK,2014-09-21,"[ET COMMENT VOUS FAITES CHEZ VOUS ? (Ignatus et les Fr̬res Makouaya), TEN STRINGS AND A GOAT SKIN]",,"(47.3768866, 8.541694)"
1317,Delemont,NOTES D'EQUINOXE,2014-09-26,"[MISIA, BAYE MAGATTE]",,"(47.365837, 7.345155500000001)"
1318,Delemont,NOTES D'EQUINOXE,2014-09-27,"[KALA JULA (SAMBA DIABATE ET VINCENT ZANETTI), BARBIC DIVAS, VIOLONS BARBARES, PALENQUE, ERDAL ERZINCAN, FIDDLERS BIRD, LOS ORIOLES]",,"(47.365837, 7.345155500000001)"
1319,Delemont,NOTES D'EQUINOXE,2014-09-28,"[TRINACRIA, BARBIC DIVAS, CHOEUR D'HOMMES DE YAROSLAV, ELINA DUNI]",,"(47.365837, 7.345155500000001)"
1320,Carouge,JAZZCONTREBAND,2014-10-02,[CAULIFLOWER],,"(46.1829674, 6.1378539)"
1321,Nyon,JAZZCONTREBAND,2014-10-03,[JIBCAE],,"(46.3832683, 6.2347852)"
1322,Nyon,JAZZCONTREBAND,2014-10-04,[ABLAYE CISSOKO],,"(46.3832683, 6.2347852)"
1323,Geneve,JAZZCONTREBAND,2014-10-05,[RALPH ALESSI],,"(46.2043907, 6.1431577)"
1324,Lausanne,JAZZCONTREBAND,2014-10-06,[MARIE (MARIE GRILLET)],,"(46.5196535, 6.6322734)"
1325,Seynod,JAZZCONTREBAND,2014-10-07,[CHIC STREET MAN],,"(45.8890357, 6.102035799999999)"
1326,Yverdon Les Bains,JAZZCONTREBAND,2014-10-08,[FABIEN SEVILLA],,"(46.7784736, 6.641183)"
1327,Lausanne,JAZZCONTREBAND,2014-10-09,[JOHN DEAR],,"(46.5196535, 6.6322734)"
1328,Le Lignon,VERNIER SUR ROCK,2014-10-10,[KYO],,"(46.203703, 6.0961889)"
1329,Lausanne,LAUSANNE UNDERGROUND FILM & MUSIC FESTIVAL (LUFF),2014-10-15,[MORTON SUBOTNIK],,"(46.5196535, 6.6322734)"
1330,Lausanne,LAUSANNE UNDERGROUND FILM & MUSIC FESTIVAL (LUFF),2014-10-16,[JOHN DUNCAN],,"(46.5196535, 6.6322734)"
1331,Lausanne,LAUSANNE UNDERGROUND FILM & MUSIC FESTIVAL (LUFF),2014-10-17,[WINTER FAMILY],,"(46.5196535, 6.6322734)"
1332,Lausanne,LAUSANNE UNDERGROUND FILM & MUSIC FESTIVAL (LUFF),2014-10-18,[COBRA],,"(46.5196535, 6.6322734)"
1333,Carouge,JAZZCONTREBAND,2014-10-23,[FABIEN SEVILLA],,"(46.1829674, 6.1378539)"
1334,Nyon,NYON'S ON FIRE,2014-10-24,[ARKONA],,"(46.3832683, 6.2347852)"
1335,Nyon,NYON'S ON FIRE,2014-10-25,[BAK XIII],,"(46.3832683, 6.2347852)"
1336,Lausanne,JAZZ ONZE +,2014-10-31,[SYLVIE COURVOISIER],,"(46.5196535, 6.6322734)"
1337,Lausanne,JAZZ ONZE +,2014-11-01,[SUSANNE ABBUEHL],,"(46.5196535, 6.6322734)"
1338,Lausanne,ZATELLIG,2014-11-05,[ONDUBGROUND (ODG)],,"(46.5196535, 6.6322734)"
1339,Lausanne,ZATELLIG,2014-11-06,[CAULIFLOWER],,"(46.5196535, 6.6322734)"
1340,Lausanne,METROPOP FESTIVAL,2014-11-07,[DANAKIL],,"(46.5196535, 6.6322734)"
1341,Lausanne,METROPOP FESTIVAL,2014-11-08,[GRAMATIK],,"(46.5196535, 6.6322734)"
